"BehaviorSpace results (NetLogo 6.1.1)"
"COVID-19_Urban_and_Rural_Model.nlogo"
"experiment"
"08/29/2020 15:39:32:078 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
,"99.9269406392694","0.0730593607305936","0","0","8","4","99.09589041095892","0.904109589041096","0","0","96","37","99.82648401826484","0.1735159817351598","0","0","19","15","99.55251141552512","0.4474885844748858","0","0","48","26","98.81278538812785","1.187214611872146","0","0","128","56","98.80365296803653","1.1963470319634704","0","0","130","84","99.83561643835617","0.16438356164383564","0","0","17","14","99.91780821917808","0.08219178082191782","0","0","8","5"
,"99.91780821917808","0.08219178082191782","0","0","9","1","99.00456621004567","0.995433789954338","0","0","107","11","99.81735159817352","0.182648401826484","0","0","20","1","99.49771689497717","0.502283105022831","0","0","54","6","98.59360730593608","1.4063926940639269","0","0","151","23","98.58447488584476","1.4155251141552512","0","0","154","24","99.79908675799086","0.2009132420091324","0","0","22","5","99.90867579908675","0.091324200913242","0","0","9","1"
,"99.90867579908675","0.091324200913242","0","0","10","1","98.94977168949771","1.0502283105022832","0","0","113","6","99.79908675799086","0.2009132420091324","0","0","22","2","99.44292237442922","0.5570776255707762","0","0","60","6","98.3744292237443","1.6255707762557077","0","0","174","23","98.39269406392694","1.6073059360730593","0","0","175","21","99.77168949771689","0.228310502283105","0","0","25","3","99.90867579908675","0.091324200913242","0","0","9","0"
,"99.90867579908675","0.091324200913242","0","0","10","0","98.88584474885845","1.1141552511415524","0","0","120","7","99.79908675799086","0.2009132420091324","0","0","22","0","99.35159817351598","0.6484018264840183","0","0","70","10","98.15525114155251","1.8447488584474887","0","0","199","25","98.11872146118722","1.8812785388127855","0","0","205","30","99.74429223744292","0.2557077625570776","0","0","28","3","99.89954337899543","0.1004566210045662","0","0","10","1"
,"99.90867579908675","0.091324200913242","0","0","10","0","98.78538812785388","1.2054794520547945","0.0091324200913242","0","131","11","99.76255707762557","0.2374429223744292","0","0","26","4","99.30593607305937","0.6940639269406392","0","0","75","5","97.90867579908675","2.054794520547945","0.0365296803652968","0","227","28","97.86301369863014","2.1278538812785386","0.0091324200913242","0","232","27","99.6986301369863","0.3013698630136986","0","0","33","5","99.89954337899543","0.1004566210045662","0","0","10","0"
,"99.90867579908675","0.08219178082191782","0.0091324200913242","0","10","0","98.5662100456621","1.3972602739726028","0.0365296803652968","0","155","24","99.76255707762557","0.2374429223744292","0","0","26","0","99.26940639269407","0.7214611872146118","0.0091324200913242","0","79","4","97.64383561643835","2.3013698630136985","0.0547945205479452","0","257","30","97.52511415525115","2.4566210045662102","0.0091324200913242","0.0091324200913242","269","37","99.68949771689498","0.31050228310502287","0","0","34","1","99.89041095890411","0.1095890410958904","0","0","11","1"
,"99.90867579908675","0.08219178082191782","0.0091324200913242","0","10","0","98.36529680365297","1.5890410958904109","0.045662100456621","0","178","23","99.74429223744292","0.2557077625570776","0","0","28","2","99.2420091324201","0.730593607305936","0.0273972602739726","0","82","3","97.3972602739726","2.5205479452054798","0.08219178082191782","0","284","27","97.27853881278538","2.6940639269406392","0.0182648401826484","0.0091324200913242","296","27","99.63470319634703","0.365296803652968","0","0","40","6","99.8812785388128","0.1187214611872146","0","0","13","2"
,"99.90867579908675","0.08219178082191782","0.0091324200913242","0","10","0","98.21004566210046","1.6986301369863015","0.091324200913242","0","195","17","99.71689497716895","0.2831050228310502","0","0","31","3","99.1689497716895","0.7853881278538813","0.045662100456621","0","90","8","97.14155251141553","2.7031963470319633","0.15525114155251143","0","312","28","97.08675799086758","2.8310502283105023","0.0730593607305936","0.0091324200913242","316","20","99.56164383561644","0.4383561643835616","0","0","48","8","99.8812785388128","0.1187214611872146","0","0","13","0"
,"99.90867579908675","0.0639269406392694","0.0273972602739726","0","10","0","98.11872146118722","1.6986301369863015","0.182648401826484","0","205","10","99.6986301369863","0.2831050228310502","0.0182648401826484","0","33","2","99.1324200913242","0.7945205479452054","0.0730593607305936","0","95","5","96.82191780821918","2.867579908675799","0.31050228310502287","0","348","36","96.81278538812785","3.0136986301369864","0.16438356164383564","0.0091324200913242","348","32","99.52511415525113","0.4474885844748858","0.0273972602739726","0","52","4","99.86301369863013","0.136986301369863","0","0","15","2"
,"99.90867579908675","0.0547945205479452","0.0365296803652968","0","10","0","97.89954337899543","1.771689497716895","0.32876712328767127","0","228","23","99.68036529680366","0.2922374429223744","0.0273972602739726","0","35","2","99.05936073059361","0.8036529680365296","0.136986301369863","0","103","8","96.45662100456622","3.0776255707762554","0.4657534246575342","0","388","40","96.63013698630138","3.0136986301369864","0.3470319634703196","0.0091324200913242","367","19","99.40639269406392","0.5296803652968036","0.0639269406392694","0","65","13","99.86301369863013","0.1278538812785388","0.0091324200913242","0","15","0"
